_id,reportedPercent,truePercent,visType
60536a9bc4e37914bcf86b24,90,0.825404185,Type2
60536aa2c4e37914bcf86b25,70,0.681292069,Type2
60536aa9c4e37914bcf86b26,35,0.316227766,Type4
60536aafc4e37914bcf86b27,80,0.825404185,Type5
60536ab4c4e37914bcf86b28,82,0.825404185,Type1
60536aeec4e37914bcf86b29,68,0.681292069,Type3
60536af5c4e37914bcf86b2a,90,0.825404185,Type4
60536afac4e37914bcf86b2b,60,0.562341325,Type4
60536affc4e37914bcf86b2c,70,0.825404185,Type4
60536b04c4e37914bcf86b2d,80,0.825404185,Type1
60536b14c4e37914bcf86b2e,60,0.562341325,Type5
60536b30c4e37914bcf86b2f,35,0.316227766,Type1
60536b42c4e37914bcf86b30,75,0.825404185,Type4
60536b47c4e37914bcf86b31,70,0.825404185,Type3
60536b4cc4e37914bcf86b32,62,0.562341325,Type3
60536b55c4e37914bcf86b33,37,0.316227766,Type2
60536b61c4e37914bcf86b34,42,0.383118685,Type2
60536b67c4e37914bcf86b35,60,0.681292069,Type3
60536b74c4e37914bcf86b36,27,0.316227766,Type5
60536b79c4e37914bcf86b37,40,0.383118685,Type4
60536b80c4e37914bcf86b38,75,0.681292069,Type1
60536b87c4e37914bcf86b39,82,0.825404185,Type3
60536b94c4e37914bcf86b3a,75,0.825404185,Type5
60536b99c4e37914bcf86b3b,40,0.316227766,Type3
60536ba1c4e37914bcf86b3c,87,0.825404185,Type1
60536ba6c4e37914bcf86b3d,40,0.383118685,Type1
60536baec4e37914bcf86b3e,40,0.383118685,Type3
60536bb9c4e37914bcf86b3f,82,0.825404185,Type3
60536bc1c4e37914bcf86b40,72,0.681292069,Type5
60536bc9c4e37914bcf86b41,40,0.392920669,Type7
60536bd4c4e37914bcf86b42,20,0.219656666,Type6
60536bddc4e37914bcf86b43,27,0.221383496,Type7
60536be5c4e37914bcf86b44,50,0.656062463,Type6
60536be8c4e37914bcf86b45,40,0.352858103,Type7
60536befc4e37914bcf86b46,10,0.103449077,Type7
60536bf6c4e37914bcf86b47,30,0.352858103,Type6
60536c0bc4e37914bcf86b48,10,0.114244268,Type6
60536c18c4e37914bcf86b49,17,0.146583293,Type7
60536c32c4e37914bcf86b4a,70,0.656062463,Type7
60536ccdc4e37914bcf86b4b,20,0.221383496,Type6
60536cd6c4e37914bcf86b4c,40,0.2076213,Type7
60536cdac4e37914bcf86b4d,37,0.370682844,Type7
60536cdec4e37914bcf86b4e,17,0.114244268,Type7
60536cecc4e37914bcf86b4f,17,0.146583293,Type6
60536cf5c4e37914bcf86b50,30,0.392920669,Type6
60536cfcc4e37914bcf86b51,10,0.103449077,Type6
60536d0ac4e37914bcf86b52,22,0.219656666,Type7
60536d16c4e37914bcf86b53,35,0.370682844,Type6
60536d1bc4e37914bcf86b54,20,0.2076213,Type6
605383f3c4e37914bcf86b55,40,0.825404185,Type5
60538447c4e37914bcf86b56,35,0.383118685,Type2
60538454c4e37914bcf86b57,25,0.261015722,Type2
6053845dc4e37914bcf86b58,50,0.825404185,Type5
60538463c4e37914bcf86b59,50,0.681292069,Type1
60538467c4e37914bcf86b5a,50,0.177827941,Type4
6053846ac4e37914bcf86b5b,50,0.316227766,Type2
60538474c4e37914bcf86b5c,30,0.316227766,Type2
60538474c4e37914bcf86b5d,50,0.316227766,Type3
60538478c4e37914bcf86b5e,50,0.681292069,Type4
6053847bc4e37914bcf86b5f,50,0.681292069,Type5
60538488c4e37914bcf86b60,50,0.316227766,Type5
60538490c4e37914bcf86b61,50,0.825404185,Type2
6053849bc4e37914bcf86b62,50,0.825404185,Type2
